order_date,product_name,product_price,quantity,customer_id
2023-05-01,Product_A,20.00,2,Customer_1
2023-05-05,Product_B,15.00,3,Customer_2
2023-06-10,Product_C,25.00,1,Customer_3
2023-06-15,Product_A,20.00,2,Customer_1
2023-07-02,Product_B,15.00,1,Customer_2
2023-07-08,Product_C,25.00,4,Customer_3
2023-08-12,Product_A,20.00,3,Customer_1
2023-08-18,Product_B,15.00,2,Customer_2
2023-09-05,Product_C,25.00,1,Customer_3
2023-09-10,Product_A,20.00,2,Customer_1
2023-10-12,Product_B,15.00,3,Customer_2
2023-10-18,Product_C,25.00,1,Customer_3
2023-11-05,Product_A,20.00,2,Customer_1
2023-11-10,Product_B,15.00,3,Customer_2
2023-12-01,Product_C,25.00,1,Customer_3
